"data_id","language","form","age","gender","mom_ed","comprehension","production"
32637,"Russian","WG",12,"Male",NA,124,10
32638,"Russian","WG",12,"Female",NA,204,11
32639,"Russian","WG",12,"Male",NA,8,3
32640,"Russian","WG",12,"Male",NA,65,8
32641,"Russian","WG",12,"Male",NA,250,13
32642,"Russian","WG",12,"Female",NA,78,16
32643,"Russian","WG",12,"Male",NA,143,6
32644,"Russian","WG",12,"Female",NA,112,6
32645,"Russian","WG",12,"Male",NA,112,13
32646,"Russian","WG",12,"Male",NA,75,18
32647,"Russian","WG",12,"Female",NA,51,0
32648,"Russian","WG",12,"Female",NA,112,6
32649,"Russian","WG",12,"Female",NA,101,6
32650,"Russian","WG",12,"Female",NA,162,2
32651,"Russian","WG",12,"Male",NA,101,0
32652,"Russian","WG",12,"Male",NA,63,11
32653,"Russian","WG",12,"Female",NA,61,7
32654,"Russian","WG",12,"Female",NA,80,7
32655,"Russian","WG",12,"Female",NA,123,22
32656,"Russian","WG",12,"Female",NA,289,8
32657,"Russian","WG",12,"Female",NA,37,1
32658,"Russian","WG",12,"Female",NA,206,7
32659,"Russian","WG",12,"Male",NA,48,8
32660,"Russian","WG",12,"Male",NA,45,5
32661,"Russian","WG",12,"Male",NA,67,8
32662,"Russian","WG",12,"Male",NA,206,23
32663,"Russian","WG",12,"Male",NA,190,3
32664,"Russian","WG",12,"Male",NA,157,19
32665,"Russian","WG",12,"Female",NA,17,5
32666,"Russian","WG",12,"Female",NA,141,12
32667,"Russian","WG",12,"Male",NA,159,12
32668,"Russian","WG",12,"Female",NA,147,20
32669,"Russian","WG",12,"Female",NA,210,21
32670,"Russian","WG",12,"Male",NA,163,11
32671,"Russian","WG",12,"Male",NA,76,9
32672,"Russian","WG",12,"Female",NA,91,7
32673,"Russian","WG",12,"Male",NA,92,1
32674,"Russian","WG",12,"Male",NA,46,0
32675,"Russian","WG",12,"Male",NA,113,13
32676,"Russian","WG",12,"Female",NA,57,7
32677,"Russian","WG",12,"Male",NA,130,7
32678,"Russian","WG",12,"Male",NA,196,0
32679,"Russian","WG",12,"Male",NA,185,3
32680,"Russian","WG",12,"Male",NA,139,15
32681,"Russian","WG",12,"Male",NA,104,14
32682,"Russian","WG",12,"Female",NA,110,7
32683,"Russian","WG",12,"Male",NA,90,6
32684,"Russian","WG",12,"Female",NA,49,1
32685,"Russian","WG",12,"Male",NA,108,11
32686,"Russian","WG",12,"Female",NA,324,9
32687,"Russian","WG",12,"Male",NA,178,12
32688,"Russian","WG",12,"Male",NA,198,22
32689,"Russian","WG",12,"Female",NA,95,0
32690,"Russian","WG",12,"Male",NA,103,12
32691,"Russian","WG",12,"Female",NA,114,8
32692,"Russian","WG",12,"Male",NA,192,7
32693,"Russian","WG",12,"Female",NA,81,5
32694,"Russian","WG",13,"Male",NA,74,16
32695,"Russian","WG",13,"Female",NA,133,0
32696,"Russian","WG",13,"Female",NA,71,0
32697,"Russian","WG",13,"Male",NA,91,0
32698,"Russian","WG",13,"Male",NA,111,3
32699,"Russian","WG",13,"Female",NA,199,10
32700,"Russian","WG",13,"Male",NA,112,6
32701,"Russian","WG",13,"Female",NA,304,58
32702,"Russian","WG",13,"Male",NA,195,16
32703,"Russian","WG",13,"Female",NA,242,25
32704,"Russian","WG",13,"Male",NA,170,40
32705,"Russian","WG",13,"Male",NA,255,12
32706,"Russian","WG",13,"Male",NA,159,18
32707,"Russian","WG",13,"Female",NA,331,24
32708,"Russian","WG",13,"Female",NA,112,10
32709,"Russian","WG",13,"Male",NA,294,5
32710,"Russian","WG",13,"Male",NA,247,4
32711,"Russian","WG",13,"Female",NA,90,22
32712,"Russian","WG",13,"Male",NA,119,23
32713,"Russian","WG",13,"Female",NA,168,25
32714,"Russian","WG",13,"Male",NA,89,8
32715,"Russian","WG",13,"Female",NA,181,9
32716,"Russian","WG",13,"Male",NA,178,4
32717,"Russian","WG",13,"Female",NA,175,17
32718,"Russian","WG",13,"Female",NA,144,11
32719,"Russian","WG",13,"Male",NA,89,4
32720,"Russian","WG",13,"Male",NA,254,27
32721,"Russian","WG",13,"Female",NA,51,4
32722,"Russian","WG",13,"Male",NA,179,15
32723,"Russian","WG",13,"Male",NA,216,10
32724,"Russian","WG",13,"Male",NA,33,6
32725,"Russian","WG",13,"Female",NA,244,20
32726,"Russian","WG",13,"Male",NA,96,9
32727,"Russian","WG",13,"Female",NA,105,11
32728,"Russian","WG",13,"Male",NA,191,18
32729,"Russian","WG",13,"Female",NA,158,18
32730,"Russian","WG",13,"Male",NA,192,13
32731,"Russian","WG",13,"Male",NA,179,17
32732,"Russian","WG",13,"Male",NA,141,7
32733,"Russian","WG",13,"Male",NA,120,6
32734,"Russian","WG",13,"Male",NA,188,8
32735,"Russian","WG",13,"Male",NA,203,22
32736,"Russian","WG",13,"Male",NA,304,14
32737,"Russian","WG",13,"Female",NA,204,13
32738,"Russian","WG",13,"Male",NA,67,4
32739,"Russian","WG",13,"Female",NA,69,6
32740,"Russian","WG",13,"Female",NA,64,18
32741,"Russian","WG",13,"Male",NA,88,39
32742,"Russian","WG",13,"Female",NA,82,4
32743,"Russian","WG",13,"Female",NA,243,37
32744,"Russian","WG",13,"Male",NA,56,14
32745,"Russian","WG",13,"Male",NA,111,15
32746,"Russian","WG",13,"Female",NA,55,11
32747,"Russian","WG",13,"Male",NA,199,6
32748,"Russian","WG",13,"Female",NA,306,14
32749,"Russian","WG",13,"Female",NA,109,30
32750,"Russian","WG",13,"Male",NA,127,12
32751,"Russian","WG",13,"Female",NA,302,89
32752,"Russian","WG",13,"Male",NA,220,16
32753,"Russian","WG",13,"Male",NA,266,30
32754,"Russian","WG",13,"Female",NA,333,52
32755,"Russian","WG",13,"Male",NA,132,20
32756,"Russian","WG",13,"Male",NA,182,3
32757,"Russian","WG",13,"Female",NA,219,19
32758,"Russian","WG",13,"Female",NA,194,30
32759,"Russian","WG",13,"Male",NA,164,28
32760,"Russian","WG",13,"Male",NA,306,13
32761,"Russian","WG",13,"Female",NA,245,71
32762,"Russian","WG",13,"Female",NA,141,12
32763,"Russian","WG",13,"Female",NA,141,10
32764,"Russian","WG",13,"Female",NA,223,3
32765,"Russian","WG",13,"Female",NA,177,11
32766,"Russian","WG",13,"Female",NA,140,6
32767,"Russian","WG",14,"Male",NA,165,47
32768,"Russian","WG",14,"Female",NA,48,3
32769,"Russian","WG",14,"Female",NA,332,96
